Итерация,Тип подвески,Xmech1,Xmech2,Xmech3,,Плавность хода,Энергопотребление,Угол крена,Угол дифферента,Проходимость,Итоговая Парето
147,Double Wishbone,4.0,0.05,0.5,,3.602,2576.7391,0.0,0.0001,1,100000000000001.34
148,Double Wishbone,6.0,0.05,0.5,,3.602,2573.0986,0.0,0.0001,1,100000000000001.34
149,Double Wishbone,8.0,0.05,0.5,,3.602,2577.6835,0.0,0.0001,1,100000000000001.34
150,Double Wishbone,10.0,0.05,0.5,,3.602,2569.3375,0.0,0.0001,1,100000000000001.34
151,Double Wishbone,0,0.1,0.5,,3.602,232.5557,0.0,0.0,1,100000000000001.11
152,Double Wishbone,2.0,0.1,0.5,,3.602,232.5472,0.0,0.0,1,100000000000001.11
153,Double Wishbone,4.0,0.1,0.5,,3.602,232.5456,0.0,0.0,1,100000000000001.11
154,Double Wishbone,6.0,0.1,0.5,,3.602,232.5431,0.0,0.0,1,100000000000001.11
155,Double Wishbone,8.0,0.1,0.5,,3.602,232.5423,0.0,0.0,1,100000000000001.11
156,Double Wishbone,10.0,0.1,0.5,,3.602,232.5405,0.0,0.0,1,100000000000001.11
157,Double Wishbone,0,0.15,0.5,,3.602,70.7569,0.0,0.0,1,100000000000001.1
158,Double Wishbone,2.0,0.15,0.5,,3.602,70.7574,0.0,0.0,1,100000000000001.1
159,Double Wishbone,4.0,0.15,0.5,,3.602,70.754,0.0,0.0,1,100000000000001.1
160,Double Wishbone,6.0,0.15,0.5,,3.602,70.7519,0.0,0.0,1,100000000000001.1
161,Double Wishbone,8.0,0.15,0.5,,3.602,70.7531,0.0,0.0,1,100000000000001.1
162,Double Wishbone,10.0,0.15,0.5,,3.602,70.7534,0.0,0.0,1,100000000000001.1
163,Double Wishbone,0,0.2,0.5,,3.602,31.4348,0.0,0.0,1,100000000000001.08
164,Double Wishbone,2.0,0.2,0.5,,3.602,31.4326,0.0,0.0,1,100000000000001.08
165,Double Wishbone,4.0,0.2,0.5,,3.602,31.4327,0.0,0.0,1,100000000000001.08
166,Double Wishbone,6.0,0.2,0.5,,3.602,31.4328,0.0,0.0,1,100000000000001.08
167,Double Wishbone,8.0,0.2,0.5,,3.602,31.433,0.0,0.0,1,100000000000001.08
168,Double Wishbone,10.0,0.2,0.5,,3.602,31.4332,0.0,0.0,1,100000000000001.08
169,Double Wishbone,0,0.05,0.55,,3.6012,2261.9834,0.0,0.0001,1,100000000000001.31
170,Double Wishbone,2.0,0.05,0.55,,3.6012,2261.2408,0.0,0.0001,1,100000000000001.31
171,Double Wishbone,4.0,0.05,0.55,,3.6012,2260.6004,0.0,0.0001,1,100000000000001.31
172,Double Wishbone,6.0,0.05,0.55,,3.6012,2260.5315,0.0,0.0001,1,100000000000001.31
173,Double Wishbone,8.0,0.05,0.55,,3.6012,2260.6932,0.0,0.0001,1,100000000000001.31
174,Double Wishbone,10.0,0.05,0.55,,3.6012,2261.0896,0.0,0.0001,1,100000000000001.31
175,Double Wishbone,0,0.1,0.55,,3.6012,200.8908,0.0,0.0,1,100000000000001.1
176,Double Wishbone,2.0,0.1,0.55,,3.6012,200.8924,0.0,0.0,1,100000000000001.1
177,Double Wishbone,4.0,0.1,0.55,,3.6012,200.8893,0.0,0.0,1,100000000000001.1
178,Double Wishbone,6.0,0.1,0.55,,3.6012,200.8962,0.0,0.0,1,100000000000001.1
179,Double Wishbone,8.0,0.1,0.55,,3.6012,200.8851,0.0,0.0,1,100000000000001.1
180,Double Wishbone,10.0,0.1,0.55,,3.6012,200.9056,0.0,0.0,1,100000000000001.1
181,Double Wishbone,0,0.15,0.55,,3.6012,61.5428,0.0,0.0,1,100000000000001.1
182,Double Wishbone,2.0,0.15,0.55,,3.6012,61.5478,0.0,0.0,1,100000000000001.1
183,Double Wishbone,4.0,0.15,0.55,,3.6012,61.5446,0.0,0.0,1,100000000000001.1
184,Double Wishbone,6.0,0.15,0.55,,3.6012,61.542,0.0,0.0,1,100000000000001.1
185,Double Wishbone,8.0,0.15,0.55,,3.6012,61.5427,0.0,0.0,1,100000000000001.1
186,Double Wishbone,10.0,0.15,0.55,,3.6012,61.5426,0.0,0.0,1,100000000000001.1
187,Double Wishbone,0,0.2,0.55,,3.6012,27.4697,0.0,0.0,1,100000000000001.08
188,Double Wishbone,2.0,0.2,0.55,,3.6012,27.4671,0.0,0.0,1,100000000000001.08
189,Double Wishbone,4.0,0.2,0.55,,3.6012,27.4677,0.0,0.0,1,100000000000001.08
190,Double Wishbone,6.0,0.2,0.55,,3.6012,27.4691,0.0,0.0,1,100000000000001.08
191,Double Wishbone,8.0,0.2,0.55,,3.6012,27.4684,0.0,0.0,1,100000000000001.08
192,Double Wishbone,10.0,0.2,0.55,,3.6012,27.4685,0.0,0.0,1,100000000000001.08
193,Double Wishbone,0,0.05,0.6,,3.6005,1856.4189,0.0,0.0001,1,100000000000001.27
194,Double Wishbone,2.0,0.05,0.6,,3.6005,1856.1818,0.0,0.0001,1,100000000000001.27
195,Double Wishbone,4.0,0.05,0.6,,3.6005,1856.0514,0.0,0.0001,1,100000000000001.27
196,Double Wishbone,6.0,0.05,0.6,,3.6005,1855.8683,0.0,0.0001,1,100000000000001.27
197,Double Wishbone,8.0,0.05,0.6,,3.6005,1855.6804,0.0,0.0001,1,100000000000001.27
198,Double Wishbone,10.0,0.05,0.6,,3.6005,1855.4448,0.0,0.0001,1,100000000000001.27
199,Double Wishbone,0,0.1,0.6,,3.6005,176.1708,0.0,0.0,1,100000000000001.1
200,Double Wishbone,2.0,0.1,0.6,,3.6005,176.1704,0.0,0.0,1,100000000000001.1
201,Double Wishbone,4.0,0.1,0.6,,3.6005,176.167,0.0,0.0,1,100000000000001.1
202,Double Wishbone,6.0,0.1,0.6,,3.6005,176.1704,0.0,0.0,1,100000000000001.1
203,Double Wishbone,8.0,0.1,0.6,,3.6005,176.1703,0.0,0.0,1,100000000000001.1
204,Double Wishbone,10.0,0.1,0.6,,3.6005,176.1749,0.0,0.0,1,100000000000001.1
205,Double Wishbone,0,0.15,0.6,,3.6005,54.3001,0.0,0.0,1,100000000000001.08
206,Double Wishbone,2.0,0.15,0.6,,3.6005,54.3008,0.0,0.0,1,100000000000001.08
207,Double Wishbone,4.0,0.15,0.6,,3.6005,54.3029,0.0,0.0,1,100000000000001.08
208,Double Wishbone,6.0,0.15,0.6,,3.6005,54.3011,0.0,0.0,1,100000000000001.08
209,Double Wishbone,8.0,0.15,0.6,,3.6005,54.295,0.0,0.0,1,100000000000001.08
210,Double Wishbone,10.0,0.15,0.6,,3.6005,54.2936,0.0,0.0,1,100000000000001.08
211,Double Wishbone,0,0.2,0.6,,3.6005,24.324,0.0,0.0,1,100000000000001.08
212,Double Wishbone,2.0,0.2,0.6,,3.6005,24.3257,0.0,0.0,1,100000000000001.08
213,Double Wishbone,4.0,0.2,0.6,,3.6005,24.3233,0.0,0.0,1,100000000000001.08
214,Double Wishbone,6.0,0.2,0.6,,3.6005,24.3234,0.0,0.0,1,100000000000001.08
